
═══════════════════════════════════════════════
VIDEO SUMMARY
═══════════════════════════════════════════════
Video length             : 4.97 s
Frames processed         : 149
Average output FPS       : 10.22

Average pose extraction  : 0.0863 s/frame

Pose failures            : 119 / 149 (79.87%)
═══════════════════════════════════════════════



═════════════════════════════════════════════════════════════════════════════════════════
                                         RUN LOG                                       
═════════════════════════════════════════════════════════════════════════════════════════
  downloads / prior check                                           0.000s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  model load | pose estimator [multiHMR_896_L]  (+1344 MB VRAM)     4.717s  [██░░░░░░░░░░░░░░░░░░]   5.3%
  model load | LHM [HfModel (LHM-MINI)]  (+7841 MB VRAM)           12.443s  [███████░░░░░░░░░░░░░]  14.1%
  avatar  | load from cache                                         0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.005s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.023s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.423s  [░░░░░░░░░░░░░░░░░░░░]   0.5%
  driving | TOTAL (pose extraction)                                 0.460s  [░░░░░░░░░░░░░░░░░░░░]   0.5%
  driving | multiHMR forward pass (pose extraction)                 0.428s  [░░░░░░░░░░░░░░░░░░░░]   0.5%
  frame 00000 | write to video                                      0.006s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.075s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.081s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.075s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00001 | write to video                                      0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.000s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.074s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.081s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.075s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00002 | write to video                                      0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.000s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.077s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.083s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.077s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00003 | write to video                                      0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.074s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.081s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.075s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00004 | write to video                                      0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.074s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.081s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.075s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00005 | write to video                                      0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.074s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.081s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.075s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00006 | write to video                                      0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | load + pad image                                        0.004s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | camera intrinsics                                       0.001s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | crop + resize for multiHMR                              0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
  driving | multiHMR forward pass (pose extraction)                 0.076s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | TOTAL (pose extraction)                                 0.083s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  driving | multiHMR forward pass (pose extraction)                 0.076s  [░░░░░░░░░░░░░░░░░░░░]   0.1%
  frame 00007 | write to video                                      0.002s  [░░░░░░░░░░░░░░░░░░░░]   0.0%
